,name,read_count,percentage
0,Bacteroidales,6687,49.31779629766207
1,Clostridiales,3541,26.11549524301202
2,Enterobacterales,1297,9.565602183051848
3,Burkholderiales,372,2.743565159672542
4,Acidaminococcales,295,2.1756766723209675
5,Selenomonadales,272,2.006047643631536
6,Desulfovibrionales,260,1.9175455417066156
7,Veillonellales,204,1.5045357327236522
8,Erysipelotrichales,37,0.27288148093517217
9,Lactobacillales,18,0.13275315288738107
10,Coriobacteriales,7,0.05162622612287042
11,Vibrionales,3,0.02212552548123018
12,Synergistales,2,0.014750350320820118
13,Pseudomonadales,2,0.014750350320820118
14,Eggerthellales,1,0.007375175160410059
15,Verrucomicrobiales,1,0.007375175160410059
16,Unclassified,560,4.130098089829644
