,filename,read_id,exit_status,runid,taxid,barcode,accuracy,lca,genus_taxid
71,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,12442724-05fc-43b7-9b51-bcd8496e639f,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,470145,BC03,95.22,0,816
92,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,194751a6-d801-4e0d-9113-07250a9139db,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,351091,BC03,88.64,0,459786
117,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,204fad2e-2abb-4115-a88d-41b657fddf70,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,470145,BC03,93.14,0,816
200,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,35ac8088-2c82-422d-83ad-fa282fe0ec56,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,541000,BC03,92.97,1,-1
268,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,48ae40cd-eb0d-4562-9244-9e2266e996db,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,186802,BC03,93.56,1,-1
386,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,6f7e4653-449e-4e94-85f1-54b88379bafb,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,470145,BC03,95.7,0,816
429,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,7c1fc0d4-96ee-43ca-93a7-204f41438b48,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,541000,BC03,86.45,1,-1
459,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,85bae7a6-a1de-4418-b634-84ec0796cfb7,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,541000,BC03,93.66,1,-1
471,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,89d2c6c8-7195-46c3-8712-0a4faa046911,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,376806,BC03,89.31,0,816
472,fastq_runid_0d12eab41107590678909ab4b985f43e389bdb15_99_0.fastq,8a3ef8bf-3cc8-4f95-acba-1143823fd99b,Classification successful,0d12eab41107590678909ab4b985f43e389bdb15,358743,BC03,88.6,0,1506553
