taxid,read_count
2,1439
89,5
356,1
506,12
519,2
543,853
545,2
548,1
550,9
562,7
564,10
573,79
574,5
577,1
580,1
622,13
623,12
624,14
712,15
815,1344
817,42
818,163
820,510
821,1738
823,329
839,1
840,29
853,4
856,4
868,1
876,6
881,3
882,8
901,3
976,7
1224,8
1231,1
1236,17
1239,4663
1264,1
1304,19
1326,1
1328,3
1346,1
1358,3
1502,1
1512,113
1531,106
1532,21
1543,1
1544,9
1622,1
28037,5
28052,3
28111,189
28112,1
28113,1
28116,134
28117,462
28118,108
28125,24
28127,1
28131,1
28135,1
28136,14
28211,1
28216,24
28446,17
29348,5
29363,1
29375,19
29466,45
31977,298
31979,1
32013,2
32016,7
32033,1
33025,5
33035,1
33039,5
36832,25
36847,1
36850,1
39482,5
39493,1
39777,1
39778,16
39831,13
39950,1
40324,1
40518,1
40519,10
40545,395
43305,1
46503,260
47678,16
53443,6
54291,1
54565,1
57706,1
58134,93
59203,1
61645,1
61648,1
67829,1
69219,2
69824,4
69825,376
71388,1
73098,1
74426,14
75682,7
77768,1
80840,763
80864,3
84024,1
84030,89
85831,14
89014,6
90371,1
91347,186
94868,4
99656,11
112901,1
112903,1
113107,5
119060,1
119219,1
128827,81
158823,1
160404,588
166486,3
169435,1
171549,2900
171550,1
171552,1335
180164,10
180957,1
185294,1
186801,2
186802,3299
186803,3215
186804,33
186807,1
186813,6
186826,3
187326,1
187327,1
189722,1
194924,7
195930,1
200643,4
204516,284
208479,599
209080,1
211589,1
211760,1
213115,1
213810,4
214856,1
218538,42
224471,11
225992,3
228603,41
228604,5
234908,23
237446,1
244366,1
246787,32
253257,329
253314,1
267745,1
267890,1
290053,6
290055,29
291644,127
299767,1
301302,252
305719,1
308994,5
310300,3
310514,1
316996,1
320502,3
321985,1
328814,64
329854,13
333367,16
338188,18
341225,2
342942,1
351091,1291
357276,1045
358742,5
358743,39
376804,26
376806,11
380084,1
387090,8393
387661,200
391358,1
393480,1
397865,1
411459,28
411470,113
411477,4
419005,1
419007,1
419208,3
423477,1
425941,11
426114,1
433287,49
435590,932
435591,666
449673,421
460384,55
470145,5663
470565,3
477666,2
479436,39
484018,11607
487174,26
487175,1
516702,1
520092,1
536231,363
536633,5
537007,2
537011,25
537012,3
538999,1
541000,12347
543314,10
544645,3
553174,2
556055,1
574930,1
585054,45
585394,97
592028,47
622312,927
644897,1
645466,2
649756,91
649762,41
649777,3
655813,2
657309,101
663278,2
663949,1
665914,1
667127,4
673548,1
684066,1
694434,1
697329,41
717959,1
732242,1
742725,4
742726,19
742727,3
742743,1377
752555,1
760570,13
762967,6
762982,2
762984,21
763034,4
796007,1
796944,1
862515,6
870242,1
871664,3
871665,3
873513,1
881260,2
888062,1
888807,1
888828,39
889201,1
889204,1
909930,2122
909932,1123
915438,2
927665,7
935294,4
995019,188
1002367,31622
1006000,2
1006003,1
1007096,229
1028307,1
1033732,11
1077285,21
1080072,1
1110546,8
1121114,22
1121115,40
1158459,1
1159613,1
1177574,1
1203608,9
1211803,2
1211813,9
1217282,4
1234680,2
1236498,1
1236512,30
1236513,8
1236514,6
1236515,6
1236516,10
1236518,2
1236538,4
1286362,13
1286820,45
1296536,7
1297793,9
1298596,1
1337886,5
1353890,1
1411144,26
1414720,2
1452742,1
1463164,7
1469948,34
1472416,4
1472417,2
1499973,20
1550024,2
1697388,2
1737404,1
1737407,2
1775411,1
1776391,39
1777138,1
1777139,1
1783272,10
1796613,1
1816689,2890
1841856,92
1843490,2
1888195,1
1903409,1
1903411,3
1903412,1
1907660,3
1911679,6
1912894,2
1917868,8
1917870,106
2005525,18
2025493,41
2042057,1
2304686,4
